library,CWE_id,fix_commit_hash
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/e1eee3912d544e17f62fc2aa754f8293f57cbe8a
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/5907277a476cde85f17ada6965e900acbfbe30cd
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/1eb5f877545c30f3e4914e802a2cac29c09c1690
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/621fe6211e41fae13b355a1d799428bb684796b3
mlpack,CWE-908,https://github.com/mlpack/mlpack/commit/ec2a18f24a38c38dd52acf65acc731a19460487c
mlpack,CWE-190,https://github.com/mlpack/mlpack/commit/3372efff07b0602026bdfa2a7b2c8a21ab22cec1
mlpack,CWE-401,https://github.com/mlpack/mlpack/commit/6a5b0d68adf4d7fb0e3085a79f7acb62fdc3e522
scipy,CWE-401,https://github.com/scipy/scipy/commit/9fede9489d98707240d0e7213104bc617daa4c75
scipy,CWE-190,https://github.com/scipy/scipy/commit/9484b9dd6331ca121d2340fb60b8090f8eed67ce
scipy,CWE-416,https://github.com/scipy/scipy/commit/e32fc2329d3dd23298725153c5b2cc7fcd0f14f1
scipy,Ref Count Leak,https://github.com/scipy/scipy/commit/e53b4fa02e6e21894cf2fa6e304aaad0da52aa2b
scipy,Ref Count Leak,https://github.com/scipy/scipy/commit/9b0b0d61b61ed37b04cc08ebab5b8e73256712c3
scipy,segfault,https://github.com/scipy/scipy/commit/e2896720599679d665bbcc42f46fa4729d5eea7b
scipy,segfault,https://github.com/scipy/scipy/commit/e2091e9e4be2dffed8c6535547e8519dc002fa74
scipy,segfault,https://github.com/scipy/scipy/commit/5910e04cb6b58d795623d3d4e30369e733ef41a0
scipy,CWE-190,https://github.com/scipy/scipy/commit/fd3e8c0b871f6033bfd779e69ded86944f7f039c
scipy,CWE-401,https://github.com/scipy/scipy/commit/7b9111c0bc32e136cf64829a483eee58b6d6bf1d
scipy,CWE-401,https://github.com/scipy/scipy/commit/01c3d9be867c82aeac46bd92866489f1256db0e9
scipy,CWE-401,https://github.com/scipy/scipy/commit/e2159417be7d4ab9d0b366ce62d88ff6761e4959
scipy,CWE-1339,https://github.com/scipy/scipy/commit/e1f97957edf4b750a10cc9957a25af97d95adda1
scipy,CWE-1339,https://github.com/scipy/scipy/commit/e555b2798bfde3854d8bc88e64b811a4de0a11ef
scipy,CWE-401,https://github.com/scipy/scipy/commit/9a1cf282fcb0153fadbef1bdf2cf52e7510abc84
scipy,CWE-401,https://github.com/scipy/scipy/commit/3245f1996f2cd9d3ac6b9c30e1b2a6a1c7593ec4
scipy,CWE-1339,https://github.com/scipy/scipy/commit/4dcb404450e4d9814baaefe43846e73b37407846
scipy,CWE-1339,https://github.com/scipy/scipy/commit/2172c00ff8e00eaea5795b16d423733a5a7fcb5b
scipy,segfault,https://github.com/scipy/scipy/commit/81bea4e9439d595402c1da0dcf06d7d085ebd749
scipy,CWE-190,https://github.com/scipy/scipy/commit/29626a66e0309ac48070f2b2fb4049ffe3684bf9
scipy,CWE-190,https://github.com/scipy/scipy/commit/121686f037acab76dd802553e44f34b9a6a24578
scipy,CWE-1139,https://github.com/scipy/scipy/commit/d9aa2c0a7b5933c3eb21c6d2fdaf31f1b03de912
scipy,CWE-401,https://github.com/scipy/scipy/commit/4d59b1e72e0d7449f356413d57c4e286b87b0e30
scipy,CWE-401,https://github.com/scipy/scipy/commit/8bbe97ac91ef109d864dc9f7b818b195db58d6ad
scipy,CWE-401,https://github.com/scipy/scipy/commit/d1203c280a8661536d64f17e6a90d7ef000302d5
scipy,CWE-401,https://github.com/scipy/scipy/commit/b1dfa580c46198daa48df1691b71fb459eb1e046
scipy,segfault,https://github.com/scipy/scipy/commit/00af093cf7a77f207c190c6a6d6bb28e38f7e40a
scipy,segfault,https://github.com/scipy/scipy/commit/63d5c2bdc93c2da03215774832a1c4ce1b790166
scipy,CWE-190,https://github.com/scipy/scipy/commit/2ba92c89df830ca1059ca34431c459accd3ccded
scipy,CWE-1339,https://github.com/scipy/scipy/commit/85ba6f529ab6799bbded4c50ee99c400a51c9bd6
scipy,Ref Count Leak,https://github.com/scipy/scipy/commit/7cb266e8ced892fcc8bd4072d1dfcf51261959d3
scipy,CWE-1139,https://github.com/scipy/scipy/commit/b109a8009252118641d831d774cee2dafd71e1cf
scipy,CWE-191,https://github.com/scipy/scipy/commit/ffa6a52647b9449e779e2732f8a435b0b7862fc7
scipy,CWE-1339,https://github.com/scipy/scipy/commit/a1491c8abfdfd39eccfe917ef4dcc0417f07129c
scipy,CWE-191,https://github.com/scipy/scipy/commit/dbb0276cbb525229b9c499a17c03472b39b7b8de
scipy,CWE-191,https://github.com/scipy/scipy/commit/c1e407d8e4009de7deecfdf10d68c0283bdc2fdd
scipy,CWE-457,https://github.com/scipy/scipy/commit/024abe70b13741647e230686dccd5401e7035f3c
scipy,CWE-190,https://github.com/scipy/scipy/commit/306eb867773ed7a89dbe65c6f12eceb7fe785c5c
scipy,CWE-401,https://github.com/scipy/scipy/commit/5085ffb1410aad64b56e3a5b01d87a7afc9fb05f
scipy,CWE-401,https://github.com/scipy/scipy/commit/023d6c08a55eaf6ddc3e55ea20b8d3d2da42378f
scipy,CWE-457,https://github.com/scipy/scipy/commit/0b99b6d9dd1b11fdd43a8759d0a50bcb3abfb371
scipy,CWE-191,https://github.com/scipy/scipy/commit/b618db4a0e7acf50c5268011beb5bea4c6e41432
scipy,segfault,https://github.com/scipy/scipy/commit/0a83133a9b13a88f3747bc17a13814bff2bc42c7
scipy,CWE-457,https://github.com/scipy/scipy/commit/da1864d3b47bfd39b7c6dc49475ca3dd8a93c3d0
scipy,CWE-457,https://github.com/scipy/scipy/commit/4d7e7be0b8cbab48f8a55bf3d23d5f1e2e785eb9
scipy,CWE-1339,https://github.com/scipy/scipy/commit/6e8d94af2709142d8075ffec48105df9974f6d10
scipy,CWE-457,https://github.com/scipy/scipy/commit/15e808de26d25445cbc7791efda31eba762657e6
scipy,segfault,https://github.com/scipy/scipy/commit/bb436fa2644d7217d2d6ed11e7ec57129e7bb5b6
scipy,segfault,https://github.com/scipy/scipy/commit/61fbbb64c781d39b7f4d11602491668e13e1a90b
scipy,CWE-835,https://github.com/scipy/scipy/commit/973e3432b26aef4a7df198d5ea0696eaf0649db3
scipy,segfault,https://github.com/scipy/scipy/commit/7c03d21d84190f7ca4277b72caba5288d2928381
scipy,segfault,https://github.com/scipy/scipy/commit/b75d42e6930dd43c35438b58063b0b2212544ddd
scipy,CWE-835,https://github.com/scipy/scipy/commit/5555543153573be22755d926e92767cd64ae6eb9
scipy,CWE-1339,https://github.com/scipy/scipy/commit/0b2ec612e19e09c86afb69411a29c50443dab028
scipy,CWE-1339,https://github.com/scipy/scipy/commit/b22c0ccb59517fcf56759c0634777af23798d707
scipy,CWE-401,https://github.com/scipy/scipy/commit/68090baa0b1947a53325bc00d0a66a41149c77e7
scipy,segfault,https://github.com/scipy/scipy/commit/f417aaa4ca3c7030e4fb6a6f60dead2b5f53cfaf
scipy,segfault,https://github.com/scipy/scipy/commit/fa52128376245c45eff3ed7467fb6942e4481bea
scipy,CWE-401,https://github.com/scipy/scipy/commit/a2d6759e9a001df9d5835d7b2e4909194732d52b
scipy,CWE-125,https://github.com/scipy/scipy/commit/ce7e912918fcf0c8d1a7e06da3fd7ebc6b1a48a7
scipy,CWE-401,https://github.com/scipy/scipy/commit/4bb6001644ca4018cf5c782e80f9d17e6c3bd762
scipy,segfault,https://github.com/scipy/scipy/commit/78a0ba19177490046df1dc38b526285cb1f87923
scipy,CWE-401,https://github.com/scipy/scipy/commit/7568e53672b49bff1353acb7e415f166ce6291f0
scipy,segfault,https://github.com/scipy/scipy/commit/58280fdcc920c6fc52ca9b507b64bb8dbaf8f828
scipy,segfault,https://github.com/scipy/scipy/commit/f8186bdf4dbe42c50f54cf3a0062b5bc67aa51d8
scipy,CWE-401,https://github.com/scipy/scipy/commit/d5bab6b7a545e7e8829374b0d43737dff5fea0e9
scipy,segfault,https://github.com/scipy/scipy/commit/12b362aded22cff8b4e26155bc1b6a0f7e32eb12
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/af5fcebb37c8b5d71c237f4e59c6477015c78ce6
tensorflow,CWE-835,https://github.com/tensorflow/tensorflow/commit/7b31eb3cf8f2f723cb937fd379264eb573cd3b97
tensorflow,CWE-122,https://github.com/tensorflow/tensorflow/commit/8ba6fa29cd8bf9cef9b718dc31c78c73081f5b31
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/bf460e240a631852b4bc76396cc8e80655ad5ae7
tensorflow,CWE-908,https://github.com/tensorflow/tensorflow/commit/0cc38aaa4064fd9e79101994ce9872c6d91f816b
